,match_id,premiere_rating,date,map,team_1,team_1_score,team_2,team_2_score,KDA
27,229412580,5136,2024-12-15 17:39:45.400071,de_nuke,"['EnaCryptic', 'Crago', 'Slowmo', 'Tobastian', 'mad1k']",2,"['СКУФИНКС', 'RW40', 'bandzioszka', 'laruz7', '™Kam1Lo']",13,"['103', '103', '28']"
28,229411438,4439,2024-12-15 17:39:45.480272,de_dust2,"['The Judge', 'Lader', 'Bobo85', 'MxPy', 'Jloban']",4,"['BIGBBODYBRRR', '""Hs""AnDi', '◤𝐑𝐚𝐛𝐢𝐝𝐨◢', 'thepclr', 'Crazyrostik']",1,"['26', '28', '10']"
29,229412221,19354,2024-12-15 17:39:45.798346,de_inferno,"['sefu', '🐝🐝🐝', 'mm', 'Z', 'GAZ141']",4,"['Гадаю', 'Daddy', 'gggggdgdgd', 'OSKARWUU ************', 'odinrazpokazyvau']",13,"['111', '116', '3']"
30,229411602,12788,2024-12-15 17:39:46.189107,de_dust2,"['racist n1', 'Hassbulapick', 'ManW', 'm0NESY', '◘ INSIDER ◘']",1,"['肏你妈', '𝖒𝖎𝖜𝖔', '', 'MF', 'art.']",13,"['82', '87', '20']"
31,229412620,19942,2024-12-15 17:39:46.263174,de_dust2,"['-Predak', 'absolute?     stat1k?!', 'Forlo Fronso', 'Teapson', 'StaTerA']",13,"['SturmRebell ツ', 'Raven', 'Fleischmützen Heikoh', 'aCCu', 'DoubleD ツ']",3,"['121', '122', '41']"
32,229412472,5384,2024-12-15 17:39:57.378013,de_dust2,"['1.9tdi peek', '♛Jeffo♛', 'Br4nk0', '几乇卄ㄚ', 'dsa//-TaR-TaR-//use']",0,"['↊Oͦ2', 'Karma', 'ALCHERA', 'SwigaPegaCASE.GIFT', 'P€Rs€¡D']",5,"['26', '26', '13']"
33,229412627,14943,2024-12-15 17:39:57.729555,de_vertigo,"['asu', 'kucinggoreng101', 'im blue', 'R9']",3,"['ZooM', '7777', 'i can fix her', 'KiLo-', 'ᰔᩚ']",6,"['50', '51', '14']"
34,229412306,2304,2024-12-15 17:39:58.555741,de_dust2,"['ali.bakytzhan0104', 'E7_Yeti', 'NVIDIA GTX 960 M']",3,"['DEZGAH', 'Kremówa', 'Kowalski', 'Alpeev', 'FуNDуk']",7,"['46', '48', '11']"
35,229412219,6967,2024-12-15 17:39:58.630421,de_inferno,"['Putlerёnok RUN', 'Haski', '18 критов невезения', 'bogii', 'SivasAvcısı']",8,"['What is love', 'self-effacing', 'typical baltica 9 enjoyer', '𝓑𝓐𝓝𝓓𝓘𝓣', 'K-н⠀Akimbekov']",1,"['59', '63', '18']"
36,229412342,11439,2024-12-15 17:39:58.721255,de_dust2,"['гастритные яица', 'Godz', 'Damn Son !', 'KryptOn', '呼吸哥']",3,"['Lagan bebo <3', 'прищ', 'exetripllsex', 'Ам ам ам ам ам', 'skinny']",8,"['73', '79', '20']"
37,229412191,9305,2024-12-15 17:39:58.799773,de_dust2,"['BellySHake98', 'Donk Enjoyer', 'AEPEUTEOSWEIBEU', 'Shraggy', 'Bill Nye']",11,"['Noggin Clicker', 'ExtremistRat427', 'ke.grey', 'Jerry', 'chris']",2,"['76', '76', '20']"
38,229412275,8062,2024-12-15 17:39:59.035464,de_dust2,"['ropz', 'LOVE MICROWAVE', 'ZaNi', 'EdemsOne', 'Sheckhin']",10,"['добри', 'BostonChris', 'Nâzaré', 'cloud', 'Jothkay']",2,"['77', '81', '32']"
39,229412649,1158,2024-12-15 17:39:59.113673,de_nuke,"['ATIK•GAME yt', 'Cтажер', 'AdamBB', 'шах', 'Гюрза']",0,"['Papito', 'Skuty Piernik', 'Kaveh', 'honzakbonzak', 'Ma1kowy']",13,"['99', '99', '28']"
40,229412103,2395,2024-12-15 17:39:59.194397,de_inferno,"['ShufflesNutMilk', 'dominion', 'JAGUAR256', 'elukiitis', 'Joy_Boy']",9,"['Sasha', 'A', 'OPIUM prime', 'OVO', 'Jenceslaw I.']",1,"['46', '50', '20']"
41,229411878,15338,2024-12-15 17:39:59.282651,de_dust2,"['我不玩原神', 'not whoa', 'Chinese Negroid - negrotech.ai', '鸡鸡爆', 'MostHatedKuya']",13,"['zlxlc', 'Ashley Graves', 'adept.', 'The Law', 'ramonjunier']",0,"['85', '87', '2']"
42,229412670,9554,2024-12-15 17:39:59.671284,de_nuke,"['kennyS', 'Sasha Tarkovich', 'Atti', 'Alxxx', 'Dingle Bungus']",1,"['CoopR', 'Queef', 'conk', 'BeastNova', 'The Red Potato']",13,"['91', '96', '28']"
43,229412640,5591,2024-12-15 17:39:59.750576,de_dust2,"['vice versa :D nicolai cage', 'раскумарился', 'MERGEN БЕК', '$okoЛ', 'NuTs']",3,"['FREIFICKMUSCHI', 'Kawai | kitsune', 'fearless', 'Noob1k', 'Germanius']",13,"['106', '107', '31']"
44,229412580,5136,2024-12-15 17:39:59.828511,de_nuke,"['EnaCryptic', 'Crago', 'Slowmo', 'Tobastian', 'mad1k']",2,"['СКУФИНКС', 'RW40', 'bandzioszka', 'laruz7', '™Kam1Lo']",13,"['103', '103', '28']"
45,229411438,4439,2024-12-15 17:39:59.907352,de_dust2,"['The Judge', 'Lader', 'Bobo85', 'MxPy', 'Jloban']",4,"['BIGBBODYBRRR', '""Hs""AnDi', '◤𝐑𝐚𝐛𝐢𝐝𝐨◢', 'thepclr', 'Crazyrostik']",1,"['26', '28', '10']"
46,229412221,19354,2024-12-15 17:40:00.249188,de_inferno,"['sefu', '🐝🐝🐝', 'mm', 'Z', 'GAZ141']",4,"['Гадаю', 'Daddy', 'gggggdgdgd', 'OSKARWUU ************', 'odinrazpokazyvau']",13,"['111', '116', '3']"
47,229411602,12788,2024-12-15 17:40:00.656397,de_dust2,"['racist n1', 'Hassbulapick', 'ManW', 'm0NESY', '◘ INSIDER ◘']",1,"['肏你妈', '𝖒𝖎𝖜𝖔', '', 'MF', 'art.']",13,"['82', '87', '20']"
