,match_id,official_rank,date,map,team_1,team_1_score,team_2,team_2_score,KDA
21,229412207,Gold Nova II,2024-12-15 17:39:35.099997,de_inferno,"['VolvOX', '¤  ZzZ', 'LimeShot', 'LewisRockSta', 'tehn0NESY-']",3,"['CocaCola', '5TonZz', 'Persona Enjoyer', 'Satoph B.', '✪ ZeeNo']",13,"['109', '111', '35']"
22,229410855,Silver III,2024-12-15 17:39:35.189860,de_dust2,"['思尼玛塞.', 'kunkun', '欣意即爱意', '红叶最多情', '★★★']",1,"['', '', '1683137720', 'SUPANEKAAA', 'Reason']",8,"['22', '53', '0']"
23,229412653,Gold Nova Master,2024-12-15 17:39:43.386308,de_mirage,"['CHORONG', '/sunhide', '23', 'Tiran', '汤姆猫']",2,"['アニメシュニク', 'Frutik', 'vaxyul mirron', '☢☆Legend☆☢', 'דימה']",7,"['59', '60', '17']"
24,229412046,Silver Elite,2024-12-15 17:39:43.465380,de_nuke,"['deathbusinessclub', 'Шурик', '(Stels) AGGRESSIVE', 'M1REL', 'Павел СВО']",3,"['Aspire', '\ue018PrinZ\ue018', '◢ Cloudex ◣', 'Guggerrrrrrrrrrr', 'kill_m@sterS']",3,"['28', '37', '8']"
25,229412594,Gold Nova Master,2024-12-15 17:39:43.653419,de_inferno,"['Criss', '✪works', 'Black Knee-Girl', 'mikey', 'lied']",0,"['rezzah', 'frag daddy', 'PoolShark', 'BolieB', 'Badass Sigma Tshirt']",13,"['55', '56', '14']"
26,229412126,Silver III,2024-12-15 17:39:43.728872,de_mirage,"['x213ll', 'Dot', '', 'Weapon X', 'FrankTheTank']",0,"['ABBYFINGERS', 'Brylan Bristopher Woods', 'ftuhcakt', 'Th3R3alR3d', 'Faded']",9,"['50', '50', '9']"
27,229411925,Master Guardian II,2024-12-15 17:39:43.805162,de_inferno,"['BeaVErinO', '我是新手别杀我', '不要欺负我队友', 'i sniff glue', '⭕⃤']",6,"['Mash Burnedead', 'TySMerxwho', 'Posion', 'jieeeee', 'M1ng']",2,"['44', '50', '9']"
28,229412626,Gold Nova III,2024-12-15 17:39:43.894576,de_mirage,"['Sinkbasher', 'marco', 'Manicers', 'lit', 'Scottie <><']",4,"['⸸\u2067\u20671sleep23', 'Rx', 'Running Outta Love', 'norton', 'Cooms']",7,"['73', '75', '24']"
29,229412081,Gold Nova I,2024-12-15 17:39:43.970755,de_vertigo,"['Kakresukesh', 'Senchyck', 'Aqula', 'ZykOLL', 'smol beib']",1,"['w', 'K҉N҉I҉G҉H҉T҉', 'Daik0ku神', 'YourFox666', 'KorbenDallas']",10,"['67', '68', '20']"
30,229412125,Gold Nova III,2024-12-15 17:39:44.045824,de_dust2,"['SoundWave', 'BaRasH1k 巴拉西克', 'Ma1onez1', 'CНИКЕРСАН', 'uwu discord kitten']",12,"['No L\ue011', 'K-9', 'Jesus', 'SANEKMR']",1,"['31', '35', '4']"
31,229412598,Silver I,2024-12-15 17:39:44.131946,de_inferno,"['Piest ™', 'Felatho', 'piterpatroly60', 'İEG', 'iso']",6,"['z1rex', 'kokstrollek', 'DaNU,_^-^', 'RaVeR [Sex]', '1Floryn']",5,"['72', '75', '21']"
32,229412138,Silver Elite Master,2024-12-15 17:39:44.235838,de_mirage,"['Ak1r0', 'Antonio', 'Iwi', 'Folo', 'Cezary Cezary']",4,"['FORBIDDEN!', 'dUrkaLEt', 'Rokselana zadartonosa', 'Prizrak', 'I WANNA FUCK']",7,"['66', '66', '21']"
33,229411805,Gold Nova I,2024-12-15 17:39:44.620998,de_inferno,"['Echo.', 'Konri', '呓语', '', '程思']",13,"['安东诺夫机场没有懦夫', 'Mr Penis', '亮堂堂发廊16号', 'f1zzyyy26', '']",0,"['81', '83', '2']"
34,229411002,Master Guardian II,2024-12-15 17:39:44.696260,de_dust2,"['Naaeon', 'a5sl3ss', 'ga', 'Naaeon Cao', 'SwagggyYY']",1,"['tren', 'sosa', 'seeyuh', 'RyanShooter2009', 'EightSix']",4,"['30', '31', '10']"
35,229412618,Gold Nova Master,2024-12-15 17:39:45.070805,de_train,"['W+MOUSE 1 | 笑一笑 mAOO,,', 'vovcιĸ', 'RaVi', 'Sachok', 'Ballsack420']",3,"['Xi Jinping', 'LYNX', 'feshu', 'Pandora', 'SportocysJL']",13,"['108', '109', '31']"
36,229412362,Gold Nova I,2024-12-15 17:39:45.157835,de_mirage,"['Kamusta buhay buhay', 'Feet Nakadashi', 'ℂ𝕩𝟛𝟛𝟘⚡', 'The㎗evil', 'donk666']",2,"['Bot HeNrY', '*星蓝*', 'Misaki Mei', '皓瀚心空   (☹)', 'Evolcat']",13,"['95', '95', '18']"
37,229412349,Gold Nova I,2024-12-15 17:39:45.234774,de_mirage,"['som 水', 'Gr3nad3n', 'Mitch', 'Plop', 'Thirsti♿']",13,"['! Wan', '!PappaPielietjies!', 'Piff the Magic Dragon', 'Instinctツ', 'Sonneblom#!']",3,"['113', '113', '33']"
38,229412538,Silver II,2024-12-15 17:39:45.571790,de_mirage,"['muzhaidov1990', 'CartmanPL', '', '✞༒卂尺乙༒✞', 'UniVity']",2,"['Tk9', 'MaŁyy key-drop.pl', '༺Leͥgeͣnͫd༻', 'marceldeboer1', 'Killdelay']",13,"['101', '102', '28']"
39,229412512,Silver III,2024-12-15 17:39:45.647858,de_mirage,"['łamb', 'lama', 'Nicolas Jackson', 'ScienceTomaTo', 'да']",1,"['Makambee', 'Pinki', 'SNKKEYDROP', 'HexRyu', 'Faworek[PL]']",13,"['99', '103', '25']"
40,229412040,Master Guardian I,2024-12-15 17:39:45.724672,de_dust2,"[""' 21"", '👽︎αℓι̇єи', 'Meppijdiloro', 'Levi_AkKerman', 'VASILEK666']",11,"['Sheezzza', 'Holy Poly', 'Just Naaby', 'akkawakaa', 'Dowi']",3,"['84', '86', '23']"
41,229412498,Master Guardian I,2024-12-15 17:39:45.885425,de_dust2,"['19', 'Airean', '芜湖白给', 'Commissar Cova†', 'Cultist']",13,"['ONZiG7', 'Re1koN', 'RaptoR Какого-то хуя', 'Franky27rus', '이백호']",4,"['123', '124', '40']"
42,229412356,Gold Nova Master,2024-12-15 17:39:45.964631,de_overpass,"['Delah', 'BluePanda', 'Dejwme1sTer', 'Sralo', '']",2,"['Pink_Pony__', '[PROPHET]', 'gyatt', 'SaknarFuchs', 'alme11k']",13,"['111', '111', '31']"
