,model_name,accuracy_score,balanced_acc_score,precision_score,recall_score,f_score,roc_auc,log_loss
0,SVC,0.9143730886850153,0.9151504941599281,0.8875739644970414,0.9433962264150944,0.9146341463414634,0.915150494159928,3.086306712217983
1,LogisticRegression,0.9204892966360856,0.9211028751123091,0.8982035928143712,0.9433962264150944,0.9202453987730062,0.921102875112309,2.865856232773841
2,RandomForestClassifier,0.9143730886850153,0.9148135669362085,0.896969696969697,0.9308176100628931,0.9135802469135802,0.9148135669362084,3.086306712217983
3,KNeighborsClassifier,0.8899082568807339,0.890667115902965,0.863905325443787,0.9182389937106918,0.8902439024390244,0.890667115902965,3.968108629994549
